name,method,method_link
Planfact,Create a new invoice,https://api.planfact.io/api/v1/invoices/income
Planfact,Find product,https://api.planfact.io/api/v1/products
Planfact,Find counterparty,https://api.planfact.io/api/v1/contragents
SMS.RU,Send SMS,http://sms.ru/sms/send?json=1&partner_id=147064&api_id={{credential.token}}
300 bucks,api trigger,https://webhook.site/67ed1af8-9ddf-4039-ac1c-0c40d88d65ff
300 bucks,url,https://api-ssl.bitly.com/v4/shorten
300 bucks,test,https://webhook.site/16900107-4592-47f3-b506-33ad1d2b9e37
Yandex.Metrics - Custom34324,sdfsdf,
300 bucks123123,Calltouch Поиск звонка,http://api.calltouch.ru/calls-service/RestAPI/{{credential.siteId}}/calls-diary/calls
CallTracking.ru,New call,https://calltracking.ru/api/get_data.php
CallTracking.ru,New request,https://calltracking.ru/api/get_form_data.php
testRefresh,asdasdas,https://webhook.site/7780b56f-a632-41f8-a664-76c3b587a003
kissmetrics.com,Event,http://trk.kissmetrics.com/e?_k={{credential.token}}
Test,Добавить сотрудника,https://api.moyklass.com/v1/company/users
test_service,test,https://api.randomdatatools.ru/
New test templ,test,
New test templ,test action,
New test templ,XML action,https://webhook.site/6bcdbeac-2843-4fe2-b3b3-349ced5ca2a4
ClickUp,test,https://api.clickup.com/api/v2/list/{{credentialWizard.listWiz123}}/task
ClickUp,test123123321,https://webhook.site/21713dae-770e-4a21-af67-31397258cc9f
ClickUp,уафывааываыфафвыфывафыавфыав,
UniSender,Download contact list,"https://api.unisender.com/ru/api/async/exportContacts
https://api.unisender.com/ru/api/async/getTaskResult
{{data.file}}"
UniSender,sdfsdfsad,
UniSender,Upload contact list,https://api.unisender.com/ru/api/importContacts
MailChimp,Add subscriber to the list,{{auth.domain}}/3.0/lists/{{credentialWizard.listId}}/members/
emtpy error for front,fsdfsdfsd,https://google.com
wizardBug,test,albato.ru
OnlyEng,dsfsdffsd,google.com
test2492,act1,https://webhook.site/dbea2753-a752-4d69-83f2-62f69abbfe3e
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,Set a conversation topic in a public channel,https://slack.com/api/conversations.setTopic
Slack,Invite a user to a public channel,https://slack.com/api/conversations.invite
Slack,Plans to send a message to a public Slack channel,https://slack.com/api/chat.scheduleMessage
Slack,Find a user by Email,https://slack.com/api/users.lookupByEmail
Slack,Find a user by ID,https://slack.com/api/users.profile.get
Slack,Send a message to a private channel,https://slack.com/api/chat.postMessage
Slack,Schedule a message to be sent to a private channel,https://slack.com/api/chat.scheduleMessage
Slack,Send a private message to the user in a private channel,https://slack.com/api/chat.postEphemeral
Slack,Send a message to a public channel,https://slack.com/api/chat.postMessage
Slack,Set a conversation topic in a private Slack channel,https://slack.com/api/conversations.setTopic
Slack,Send a private message to a user in a public channel,https://slack.com/api/chat.postEphemeral
Slack,Send a private message to a user,https://slack.com/api/chat.postMessage
Zoom,,
Zoom,,
Zoom,,
Zoom,,
Zoom,Create webinar,https://api.zoom.us/v2/users/me/webinars
Zoom,Create meeting,https://api.zoom.us/v2/users/me/meetings
Zoom,Add meeting registrant,https://api.zoom.us/v2/meetings/{{data.meetingId}}/registrants
Zoom,Add webinar registrant,https://api.zoom.us/v2/webinars/{{data.webinarId}}/registrants
CallKeeper,Calls,https://api.callkeeper.ru/getCallsInfo
CallKeeper,Call request,https://api.callkeeper.ru/orderCall
translation test,New deal,https://webhook.site/dbea2753-a752-4d69-83f2-62f69abbfe3e
UniSender,Download contact list,"https://api.unisender.com/ru/api/async/exportContacts
https://api.unisender.com/ru/api/async/getTaskResult
{{data.file}}"
UniSender,sdfsdfsad,
UniSender,Upload contact list,https://api.unisender.com/ru/api/importContacts
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,New contact added,https://api.hubapi.com/crm/v3/objects/contacts/search
HubSpot,Contact updated,https://api.hubapi.com/crm/v3/objects/contacts/search
HubSpot,New ticket,https://api.hubapi.com/crm/v3/objects/tickets/search
HubSpot,Ticket changed,https://api.hubapi.com/crm/v3/objects/tickets/search
HubSpot,New contact added21312321,аыфвафываф
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,Update note,https://api.hubapi.com/crm/v3/objects/notes/{{data.id}}
HubSpot,Update an object property,https://api.hubapi.com/crm/v3/properties/{{data.objectType}}/{{data.propertyName}}
HubSpot,Update contact,https://api.hubapi.com/crm/v3/objects/contacts/{{data.id}}
HubSpot,Associate a note with another object,https://api.hubapi.com/crm/v3/objects/notes/{{data.dealId}}/associations/{{data.toObjectType}}/{{data.toObjectId}}/{{data.associationType}}
HubSpot,Get object properties,https://api.hubapi.com/crm/v3/properties/{{data.objectType}}/{{data.propertyName}}
HubSpot,New deal,https://api.hubapi.com/crm/v3/objects/deals
HubSpot,Create new task,https://api.hubapi.com/crm/v3/objects/tasks
HubSpot,Create new ticket (BETA),https://api.hubapi.com/crm/v3/objects/tickets
HubSpot,Update the deal,https://api.hubapi.com/crm/v3/objects/deals/{{data.dealId}}
HubSpot,Update task,https://api.hubapi.com/crm/v3/objects/tasks/{{data.id}}
HubSpot,Update ticket (BETA),https://api.hubapi.com/crm/v3/objects/ticket/{{data.id}}
HubSpot,Associate a deal with another object,https://api.hubapi.com/crm/v3/objects/deals/{{data.dealId}}/associations/{{data.toObjectType}}/{{data.toObjectId}}/{{data.associationType}}
HubSpot,Associate a task with another object,https://api.hubapi.com/crm/v3/objects/tasks/{{data.dealId}}/associations/{{data.toObjectType}}/{{data.toObjectId}}/{{data.associationType}}
HubSpot,Create new note,https://api.hubapi.com/crm/v3/objects/notes
HubSpot,Get a list of contact associations by type,https://api.hubapi.com/crm/v3/objects/contacts/{{data.contactId}}/associations/{{data.toObjectType}}
HubSpot,Find contact,https://api.hubapi.com/crm/v3/objects/contacts/search
HubSpot,Send a transactional email,https://api.hubapi.com/marketing/v3/transactional/single-email/send
